0.0835776884705  1.2978378055e-10
0.211002109106  3.40075478486e-10
0.461351035438  6.66492710524e-10
0.753022351407  1.30624498508e-09
1.12700918458  2.33577739091e-09
1.50055700167  3.69587536788e-09
1.9154820854  5.93816757549e-09
2.33040716913  9.54086126958e-09
2.74538712988  1.5565491229e-08
3.11915445501  2.61823830168e-08
3.49303153416  4.54083529279e-08
3.86718299837  8.50086107293e-08
4.24210274074  1.97129556821e-07
4.45162317054  4.43326559993e-07
4.66086921528  9.23623904426e-07
4.78763511178  2.01450635015e-06
4.87269447956  3.94777272436e-06
4.91648633471  7.8553694566e-06
4.99946037605  8.61044542488e-06
5.04028887259  7.50366953203e-06
5.12106783347  4.46198356441e-06
5.24190701273  1.86667476589e-06
5.36351447015  9.6732186484e-07
5.48534143562  5.32885405184e-07
5.60843057235  4.17272121718e-07
5.73206847919  3.80720356362e-07
5.89774217682  4.23763465623e-07
5.98110035725  5.16967621114e-07
6.06495243078  7.23709443972e-07
6.19144394222  1.46230216942e-06
6.23457727323  2.42197790716e-06
6.27672281804  3.04635912311e-06
6.35969685939  3.33918208673e-06
6.44146360648  2.61466768881e-06
6.52163892024  1.31410317602e-06
6.64319150065  6.70643460904e-07
6.76479895807  3.47531393845e-07
6.96916094879  1.85692737688e-07
7.33881249806  9.92275756552e-08
7.70912257146  6.37017352817e-08
8.12102941957  4.41448335231e-08
8.6570131906  3.15439575068e-08
9.06963343986  2.66665196804e-08
9.3587804133  2.58672419238e-08
9.56566674654  2.79252099933e-08
9.6486956649  3.10810418907e-08
9.85722830849  5.3081775771e-08
9.98278691074  8.27058662718e-08
10.0254263486  1.19373603045e-07
10.108565021  1.36989619748e-07
10.1907159072  1.1938365942e-07
10.2717143761  7.54674416635e-08
10.4344795922  3.73551742453e-08
10.7216509932  2.08973054622e-08
11.1335578413  1.44816788214e-08
11.5874456032  1.20569677302e-08
12.0001756064  1.05091718717e-08
12.5781951683  9.160843747e-09
13.4454714576  7.98668359761e-09
13.8999628666  7.86732278696e-09
14.2720838813  8.36507344097e-09
14.5205121123  9.60031981025e-09
14.7695988673  1.32368017334e-08
14.8947184535  1.82495848138e-08
15.0202770557  2.84343863633e-08
15.145780781  4.36309444165e-08
15.3123873878  6.29787504496e-08
15.3538744085  6.59361432874e-08
15.4360252946  5.74620039692e-08
15.5581815222  3.46963906957e-08
15.6802279957  2.0319246289e-08
15.8438712439  1.28451928079e-08
16.0492758978  9.17706385897e-09
16.5437726482  6.2634057706e-09
17.0389827997  5.2148147045e-09
17.5345222133  4.75891475141e-09
17.8649915764  4.61637263269e-09
18.030390889  4.7601175667e-09
18.1958999555  5.0607482943e-09
18.3196476164  4.76081934934e-09
18.4846079129  4.34387757322e-09
18.8148577679  3.96378450602e-09
19.5583315193  3.61771171668e-09
20.3846695581  3.51023864395e-09
20.6740909166  3.67553888234e-09
20.9227935326  4.55341837538e-09
21.0472545946  5.22547843525e-09
21.1712217635  5.22580858877e-09
21.2122697681  4.84130063787e-09
21.5004838323  3.6212943442e-09
21.7067116414  3.25408376758e-09
21.9545911022  3.20511404369e-09
22.2027998251  3.46018210734e-09
22.4096312814  3.67879138219e-09
22.6569619721  3.10970172956e-09
22.9458345604  2.79448594504e-09
23.6067184096  2.58968938366e-09
24.8460608367  2.36418442078e-09
26.0441357511  2.19152282422e-09
26.9117961795  2.12646300183e-09
27.4078294861  2.22683449437e-09
27.7388476193  2.51699328261e-09
28.0698657525  2.84496005461e-09
28.3182391065  3.21552578919e-09
28.5655697972  2.71810088403e-09
28.8127907338  2.22842955517e-09
28.9778059073  2.06459514866e-09
