#ExternalField.h_x         ExternalField.h_y         ExternalField.h_z         m_x                       m_y                       m_z                       unnamed               
+0.000000000000000e+00    +0.000000000000000e+00    -2.057213192328789e+06    -2.185549152726559e-02    -3.590722781629521e-02    +5.333882832094845e-01    +8.323447367653665e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.058010561783180e+06    -2.188928647700551e-02    -3.597950643689397e-02    +5.332792196121354e-01    +8.319682467219125e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.058807931237571e+06    -2.192338206296616e-02    -3.605261641615339e-02    +5.331692519658072e-01    +8.315881936017038e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.059605300691963e+06    -2.195778626454859e-02    -3.612658106929739e-02    +5.330583607199286e-01    +8.312044884256446e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.060402670146353e+06    -2.199250742397758e-02    -3.620142476677346e-02    +5.329465255237188e-01    +8.308170383326933e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.061200039600745e+06    -2.202755427062851e-02    -3.627717300220523e-02    +5.328337251758295e-01    +8.304257463302427e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.061997409055136e+06    -2.206293592735485e-02    -3.635385243895334e-02    +5.327199375947438e-01    +8.300305111497626e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.062794778509527e+06    -2.209866196189660e-02    -3.643149102103364e-02    +5.326051397314304e-01    +8.296312268098750e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.063592147963919e+06    -2.213474239861442e-02    -3.651011803355916e-02    +5.324893075293513e-01    +8.292277824200608e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.064389517418310e+06    -2.217118775809508e-02    -3.658976420475364e-02    +5.323724158477271e-01    +8.288200617985371e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.065186886872698e+06    -2.220800909237620e-02    -3.667046180607332e-02    +5.322544383878969e-01    +8.284079431065331e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.065984256327089e+06    -2.224521800166857e-02    -3.675224473329011e-02    +5.321353476399935e-01    +8.279912985838109e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.066781625781480e+06    -2.228273080065246e-02    -3.683514488803314e-02    +5.320152005920742e-01    +8.275703185809298e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.067578995235872e+06    -2.232074569566525e-02    -3.691920714192738e-02    +5.318938011578704e-01    +8.271442345604860e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.068376364690263e+06    -2.235918573018425e-02    -3.700446654218795e-02    +5.317711988103155e-01    +8.267132064414009e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.069173734144654e+06    -2.239806565017819e-02    -3.709096572537879e-02    +5.316473595526655e-01    +8.262770743099404e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.069971103599046e+06    -2.243740051907426e-02    -3.717874881044424e-02    +5.315222483052132e-01    +8.258356732074658e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.070768473053436e+06    -2.247720626021792e-02    -3.726786245324956e-02    +5.313958281173436e-01    +8.253888289567831e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.071565842507828e+06    -2.251749973325862e-02    -3.735835605405766e-02    +5.312680600126140e-01    +8.249363573942711e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.072363211962219e+06    -2.255829880882409e-02    -3.745028198363036e-02    +5.311389028271297e-01    +8.244780635606817e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.073160581416610e+06    -2.259962247543748e-02    -3.754369584176576e-02    +5.310083130067874e-01    +8.240137407067722e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.073957950871002e+06    -2.264149088770851e-02    -3.763865672125728e-02    +5.308762444514130e-01    +8.235431694742829e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.074755320325393e+06    -2.268392552784267e-02    -3.773522753783803e-02    +5.307426482352755e-01    +8.230661165467906e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.075552689779781e+06    -2.272694929466808e-02    -3.783347536754051e-02    +5.306074723850129e-01    +8.225823335149077e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.076350059234172e+06    -2.277058662500432e-02    -3.793347183246842e-02    +5.304706616096218e-01    +8.220915555162608e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.077147428688564e+06    -2.281486368846617e-02    -3.803529355339282e-02    +5.303321569396571e-01    +8.215934994711470e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.077944798142955e+06    -2.285980848631993e-02    -3.813902261824123e-02    +5.301918954401680e-01    +8.210878625873119e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.078742167597346e+06    -2.290545110388118e-02    -3.824474716072088e-02    +5.300498097469867e-01    +8.205743200941731e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.079539537051738e+06    -2.295182392377766e-02    -3.835256198955707e-02    +5.299058276136284e-01    +8.200525229755139e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.080336906506128e+06    -2.299896180138468e-02    -3.846256928263601e-02    +5.297598714622730e-01    +8.195220956619417e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.081134275960519e+06    -2.304690244238337e-02    -3.857487944208156e-02    +5.296118576948632e-01    +8.189826326681967e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.081931645414911e+06    -2.309568662384522e-02    -3.868961199826471e-02    +5.294616961145359e-01    +8.184336956117449e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.082729014869302e+06    -2.314535868570603e-02    -3.880689673772622e-02    +5.293092890226170e-01    +8.178748087985734e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.083526384323693e+06    -2.319596680448197e-02    -3.892687490000638e-02    +5.291545304690287e-01    +8.173054553379456e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.084323753778085e+06    -2.324756366569279e-02    -3.904970070084812e-02    +5.289973050257833e-01    +8.167250711536748e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.085121123232476e+06    -2.330041691825178e-02    -3.917590309068610e-02    +5.288371934076199e-01    +8.161315284476934e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.085918492686864e+06    -2.335419118451109e-02    -3.930498173421515e-02    +5.286746143356030e-01    +8.155270224795343e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.086715862141256e+06    -2.340914779979823e-02    -3.943747179818340e-02    +5.285091483620479e-01    +8.149094253371154e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.087513231595647e+06    -2.346536428128802e-02    -3.957359950499786e-02    +5.283406276660436e-01    +8.142779117895756e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.088310601050038e+06    -2.352292696526215e-02    -3.971361709709018e-02    +5.281688657476684e-01    +8.136315629493031e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.089107970504429e+06    -2.358201176861335e-02    -3.985805132694288e-02    +5.279935076302217e-01    +8.129685279356643e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.089905339958820e+06    -2.364257812341360e-02    -4.000675877998885e-02    +5.278145956850933e-01    +8.122892028679585e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.090702709413212e+06    -2.370481840178056e-02    -4.016031340821755e-02    +5.276317380593820e-01    +8.115915609364217e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.091500078867603e+06    -2.376887199843221e-02    -4.031912221997763e-02    +5.274446364782285e-01    +8.108741239546823e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.092297448321994e+06    -2.383512726521606e-02    -4.048431396546730e-02    +5.272525319925827e-01    +8.101329088333237e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.093094817776385e+06    -2.390335094151715e-02    -4.065521755766974e-02    +5.270557928912214e-01    +8.093701426860602e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.093892187230777e+06    -2.397395160545043e-02    -4.083302071521380e-02    +5.268536096697987e-01    +8.085816153609853e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.094689556685165e+06    -2.404718092395563e-02    -4.101845804903934e-02    +5.266454476709690e-01    +8.077646652214548e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.095486926139556e+06    -2.412333735026693e-02    -4.121240051667902e-02    +5.264306737790941e-01    +8.069161378462592e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.096284295593948e+06    -2.420277939054149e-02    -4.141589420850777e-02    +5.262085285101641e-01    +8.060322460944506e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.097081665048339e+06    -2.428594395098321e-02    -4.163021384735158e-02    +5.259780874159220e-01    +8.051083768307778e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.097879034502730e+06    -2.437337259521971e-02    -4.185693935221874e-02    +5.257382058444957e-01    +8.041388143198503e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.098676403957122e+06    -2.446575030107959e-02    -4.209806885128060e-02    +5.254874373916455e-01    +8.031163319187492e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.099473773411512e+06    -2.456396493809322e-02    -4.235619210921946e-02    +5.252239087510362e-01    +8.020315654815166e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.100271142865904e+06    -2.466920266357837e-02    -4.263476870345260e-02    +5.249451189280576e-01    +8.008720082317968e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.101068512320295e+06    -2.478311031224098e-02    -4.293860154148377e-02    +5.246475974292371e-01    +7.996202997571463e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.101865881774686e+06    -2.490809260230768e-02    -4.327470353129066e-02    +5.243262785000644e-01    +7.982510941413155e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.102663251229077e+06    -2.504791342699300e-02    -4.365405102550994e-02    +5.239732347996490e-01    +7.967247231075052e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.103460620683469e+06    -2.520913311731966e-02    -4.409571989828168e-02    +5.235747311574536e-01    +7.949722867482416e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.104257990137860e+06    -2.540507776192750e-02    -4.463872456960451e-02    +5.231025297846297e-01    +7.928527730429210e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.105055359592251e+06    -2.567432727863317e-02    -4.539552345426128e-02    +5.224751506339239e-01    +7.899592748268014e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.105852729046640e+06    +3.459125933456700e-03    +3.958023885829331e-02    +2.609204170419659e-01    +5.319296182090025e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.106650098501031e+06    +3.465217402853315e-03    +3.962659139406447e-02    +2.608519995890374e-01    +5.319016646754217e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.107447467955422e+06    +3.471485194822713e-03    +3.967331793315437e-02    +2.607832338377806e-01    +5.318740646900757e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.108244837409813e+06    +3.477861647696073e-03    +3.972037498823549e-02    +2.607140481195694e-01    +5.318464983221274e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.109042206864205e+06    +3.484349154390231e-03    +3.976776794303027e-02    +2.606444371071741e-01    +5.318189698580404e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.109839576318596e+06    +3.490950084703329e-03    +3.981550221365194e-02    +2.605743954485578e-01    +5.317914835570983e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.110636945772987e+06    +3.497666852189819e-03    +3.986358333000521e-02    +2.605039176622466e-01    +5.317640437277730e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.111434315227378e+06    +3.504501922620300e-03    +3.991201694842161e-02    +2.604329981338743e-01    +5.317366547586034e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.112231684681769e+06    +3.511457841998529e-03    +3.996080888272412e-02    +2.603616311292564e-01    +5.317093212444634e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.113029054136160e+06    +3.518537243381023e-03    +4.000996511340528e-02    +2.602898107937422e-01    +5.316820480134252e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.113826423590552e+06    +3.525742853983708e-03    +4.005949179698649e-02    +2.602175311519045e-01    +5.316548401550308e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.114623793044940e+06    +3.533077426193277e-03    +4.010939520148536e-02    +2.601447860492350e-01    +5.316277026845987e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.115421162499331e+06    +3.540543858140104e-03    +4.015968182776479e-02    +2.600715692346922e-01    +5.316006411110448e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.116218531953723e+06    +3.548145102369474e-03    +4.021035832337829e-02    +2.599978742852304e-01    +5.315736609942117e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.117015901408114e+06    +3.555884193776652e-03    +4.026143151386927e-02    +2.599236946178329e-01    +5.315467680695883e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.117813270862505e+06    +3.563764319912606e-03    +4.031290847265841e-02    +2.598490235386601e-01    +5.315199685796544e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.118610640316897e+06    +3.571788651596771e-03    +4.036479636570488e-02    +2.597738540954670e-01    +5.314932684473449e-01
+0.000000000000000e+00    +0.000000000000000e+00    -2.119408009771287e+06    +3.579960611498454e-03    +4.041710270693753e-02    +2.596981792905874e-01    +5.314666745657910e-01
