#t                         m_x                       m_y                       m_z                       ExternalField.h_x         ExternalField.h_y         ExternalField.h_z     
+0.000000000000000e+00    +0.000000000000000e+00    +9.080414048824813e-18    +9.999820400050240e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.749494949494952e+05
+0.000000000000000e+00    +0.000000000000000e+00    +2.998778713655108e-18    +9.999833777899846e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.753535353535353e+05
+0.000000000000000e+00    +0.000000000000000e+00    +2.830622897936130e-18    +9.999847145344897e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.757575757575764e+05
+0.000000000000000e+00    +0.000000000000000e+00    +1.036960863600364e-18    +9.999860502400900e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.761616161616162e+05
+0.000000000000000e+00    +0.000000000000000e+00    +1.740412692691422e-17    +9.999873849092185e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.765656565656564e+05
+0.000000000000000e+00    +0.000000000000000e+00    +7.300764999132295e-18    +9.999887185420662e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.769696969696974e+05
+0.000000000000000e+00    +0.000000000000000e+00    +1.583467264687043e-18    +9.999900511405453e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.773737373737374e+05
+0.000000000000000e+00    +0.000000000000000e+00    +3.263483993566066e-16    +9.999913827006605e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.777777777777775e+05
+0.000000000000000e+00    +0.000000000000000e+00    +1.008934894313868e-18    +9.999927131627311e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.781818181818186e+05
+0.000000000000000e+00    +0.000000000000000e+00    +2.424246343281933e-18    +9.999940422934069e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.785858585858588e+05
+0.000000000000000e+00    +0.000000000000000e+00    -1.877739942195255e-18    +9.999953689723554e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.789898989898986e+05
+0.000000000000000e+00    +0.000000000000000e+00    +3.349803978968475e-17    +9.999966845497030e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.793939393939396e+05
+0.000000000000000e+00    +0.000000000000000e+00    -1.555441295400547e-18    +9.999979603749896e-01    +0.000000000000000e+00    +0.000000000000000e+00    +9.797979797979798e+05
