#t                         m_x                       m_y                       m_z                   
+3.349999999999998e-10    +7.911687052306243e-01    +5.867910728575756e-01    -2.131665616746707e-03
+3.399999999999998e-10    +7.902551245545888e-01    +5.880531936873610e-01    -1.986838470849476e-03
+3.449999999999998e-10    +7.894424318134673e-01    +5.891846925024131e-01    -1.687973974767255e-03
+3.499999999999998e-10    +7.887935237131097e-01    +5.900964383286526e-01    -1.262887055410532e-03
+3.549999999999998e-10    +7.883565913399574e-01    +5.907194503583680e-01    -7.494467876851457e-04
+3.599999999999997e-10    +7.881609978342122e-01    +5.910108850267419e-01    -1.917211715186685e-04
+3.649999999999997e-10    +7.882153040097031e-01    +5.909567537874536e-01    +3.641863311088074e-04
+3.699999999999997e-10    +7.885072484031446e-01    +5.905717206967445e-01    +8.743129391985141e-04
+3.749999999999997e-10    +7.890058252732602e-01    +5.898963978297044e-01    +1.300470747981298e-03
+3.799999999999997e-10    +7.896648391514410e-01    +5.889928867532588e-01    +1.613307904060837e-03
+3.849999999999997e-10    +7.904276387402277e-01    +5.879386959438453e-01    +1.794164965220898e-03
+3.899999999999996e-10    +7.912325450643432e-01    +5.868196133985302e-01    +1.835989495143809e-03
+3.949999999999996e-10    +7.920181019274707e-01    +5.857224835305017e-01    +1.743061608654925e-03
+3.999999999999996e-10    +7.927280542708625e-01    +5.847280242485958e-01    +1.529815638399097e-03
+4.049999999999996e-10    +7.933152464214760e-01    +5.839047641392400e-01    +1.218901406474034e-03
+4.099999999999996e-10    +7.937445728545384e-01    +5.833041306962878e-01    +8.387058644288369e-04
+4.149999999999995e-10    +7.939947020528123e-01    +5.829572789996049e-01    +4.207047520644226e-04
+4.199999999999995e-10    +7.940586068518032e-01    +5.828741345508772e-01    -3.235311461372895e-06
+4.249999999999995e-10    +7.939428555180801e-01    +5.830445016789321e-01    -4.033562039502821e-04
+4.299999999999995e-10    +7.936659572317900e-01    +5.834405346449603e-01    -7.541637106680935e-04
+4.349999999999995e-10    +7.932560843610628e-01    +5.840202135055478e-01    -1.035978007884912e-03
+4.399999999999995e-10    +7.927482413912804e-01    +5.847318511008556e-01    -1.235774035016954e-03
+4.449999999999994e-10    +7.921811148027581e-01    +5.855192837651679e-01    -1.347325964569057e-03
+4.499999999999994e-10    +7.915940199108564e-01    +5.863267392400979e-01    -1.370825919389367e-03
+4.549999999999994e-10    +7.910240831405985e-01    +5.871031789543780e-01    -1.311954006568154e-03
+4.599999999999994e-10    +7.905040408696420e-01    +5.878052943744826e-01    -1.180765805095733e-03
