#t                         m_x                       m_y                       m_z                   
+3.349999999624487e-10    +6.981917619705200e-01    +2.207407057285309e-01    -5.406390130519867e-02
+3.400000003761505e-10    +6.829541325569153e-01    +2.545207142829895e-01    -4.691004008054733e-02
+3.450000007898524e-10    +6.665256023406982e-01    +2.826928496360779e-01    -3.684852644801140e-02
+3.500000012035542e-10    +6.514135599136353e-01    +3.045711517333984e-01    -2.539777569472790e-02
+3.550000016172561e-10    +6.410415768623352e-01    +3.211789429187775e-01    -1.399089302867651e-02
+3.600000020309579e-10    +6.381400227546692e-01    +3.337508141994476e-01    -3.279345575720072e-03
+3.650000024446598e-10    +6.435605287551880e-01    +3.424058854579926e-01    +7.014507893472910e-03
+3.700000028583617e-10    +6.558599472045898e-01    +3.458410501480103e-01    +1.765578053891659e-02
+3.750000032720635e-10    +6.710464358329773e-01    +3.418098390102386e-01    +2.939890138804913e-02
+3.800000036857654e-10    +6.837849020957947e-01    +3.273185491561890e-01    +4.272763803601265e-02
+3.850000040994672e-10    +6.900980472564697e-01    +2.996088266372681e-01    +5.749465152621269e-02
+3.900000045131691e-10    +6.889421939849854e-01    +2.580824494361877e-01    +7.275962084531784e-02
+3.950000049268709e-10    +6.817818880081177e-01    +2.049861997365952e-01    +8.738406747579575e-02
+4.000000053405728e-10    +6.720839142799377e-01    +1.435540765523911e-01    +1.008214727044106e-01
+4.050000057542746e-10    +6.633478999137878e-01    +7.558927685022354e-02    +1.128558963537216e-01
+4.100000061679765e-10    +6.568355560302734e-01    +1.104962662793696e-03    +1.228296831250191e-01
+4.150000065816783e-10    +6.509729623794556e-01    -8.094045519828796e-02    +1.293348222970963e-01
+4.200000069953802e-10    +6.422092914581299e-01    -1.712561249732971e-01    +1.307118982076645e-01
+4.250000074090821e-10    +6.265959739685059e-01    -2.680672705173492e-01    +1.258357167243958e-01
+4.300000078227839e-10    +6.009021401405334e-01    -3.657388389110565e-01    +1.150689795613289e-01
+4.350000082364858e-10    +5.632273554801941e-01    -4.564147889614105e-01    +1.003353223204613e-01
+4.400000086501876e-10    +5.137143135070801e-01    -5.325301289558411e-01    +8.382379263639450e-02
+4.450000090638895e-10    +4.559998512268066e-01    -5.880377292633057e-01    +6.662757694721222e-02
+4.500000094775913e-10    +3.974234461784363e-01    -6.216581463813782e-01    +4.885252192616463e-02
+4.550000098912932e-10    +3.448634445667267e-01    -6.386538743972778e-01    +3.058981336653233e-02
+4.600000103049950e-10    +3.015214800834656e-01    -6.457889080047607e-01    +1.203530654311180e-02
+4.650000107186969e-10    +2.689133584499359e-01    -6.475317478179932e-01    -6.479766685515642e-03
+4.699999833768231e-10    +2.490339130163193e-01    -6.466031670570374e-01    -2.423723414540291e-02
+4.749999837905250e-10    +2.435458600521088e-01    -6.444122195243835e-01    -4.048486426472664e-02
+4.799999842042268e-10    +2.529939115047455e-01    -6.407456398010254e-01    -5.470433458685875e-02
+4.849999846179287e-10    +2.766653597354889e-01    -6.339110732078552e-01    -6.662036478519440e-02
+4.899999850316306e-10    +3.114247024059296e-01    -6.218038201332092e-01    -7.652276754379272e-02
+4.949999854453324e-10    +3.522422611713409e-01    -6.036953330039978e-01    -8.509335666894913e-02
+4.999999858590343e-10    +3.942698240280151e-01    -5.809645652770996e-01    -9.257438778877258e-02
+5.049999862727361e-10    +4.349488914012909e-01    -5.561763048171997e-01    -9.899295866489410e-02
+5.099999866864380e-10    +4.742378592491150e-01    -5.314112901687622e-01    -1.047096252441406e-01
+5.149999871001398e-10    +5.127711296081543e-01    -5.062919259071350e-01    -1.107849851250648e-01
+5.199999875138417e-10    +5.502392649650574e-01    -4.769522845745087e-01    -1.185227483510971e-01
+5.249999879275435e-10    +5.848050117492676e-01    -4.375056624412537e-01    -1.280966252088547e-01
