#NN       n_eval  t_total             throughput
1024      960     3.1191302686929703  315164.77842136734
4096      966     3.242597982287407   1220236.372690525
16384     960     3.025647148489952   5198438.293721689
65536     966     3.1818072125315666  19896798.194014378
262144    954     3.081994466483593   81144005.51969042
1048576   966     4.107770659029484   246587382.81151193
4194304   960     10.275294333696365  391865352.87807393
16777216  960     38.2385473176837    421201339.7420985
67108864  954     170.15357603877783  376259246.18480825
