# Iteration Hx(2K1/Js) Mx My Mz
100 0.20015693685912342 0.146102988073413 -0.03517194275327338 -0.013144392711115763
200 0.20044909772551991 0.12158005264675731 -0.052484791009074216 -0.0301578516481755
300 0.20110172121884562 0.061109223302585926 -0.07000630454236034 -0.051670760391915725
400 0.20177789321958292 0.005600451738386649 -0.08277816373722237 -0.0652398486916463
500 0.20248816768610076 -0.038674197151570305 -0.09391010242930695 -0.07371631210220295
600 0.2031566870518953 -0.06748403583472443 -0.10291288544518021 -0.07815458719856742
700 0.20373046106280188 -0.08426649581936242 -0.10968374224985795 -0.0801136959201678
800 0.20444587950264148 -0.09793055567107706 -0.11704085014423882 -0.08080663089195285
900 0.20511883590879382 -0.10599980388727126 -0.12299500495408264 -0.08006554064151207
1000 0.20511883590879382 -0.10599980377392018 -0.12299500495408264 -0.08006554064565294
1100 0.20511883590879382 -0.10599980388727126 -0.12299500476781813 -0.08006554064565294
1200 0.2063661751122424 -0.11458833783234094 -0.13197769828360592 -0.07607786862256823
1300 0.2063661751122424 -0.11458833782934519 -0.13197769828360592 -0.07607786862384175
1400 0.20653227350583953 -0.11539387682966054 -0.13300282680361558 -0.07536425422365503
1500 0.20711248773448943 -0.1178812656532751 -0.1363159297066478 -0.07266741785968096
1600 0.20711248773448943 -0.11788126565322568 -0.1363159297066478 -0.0726674179086951
1700 0.2086046318438577 -0.12303534781954444 -0.14323725326914977 -0.06520418111428528
1800 0.2086046318438577 -0.12303534782095718 -0.1432372530843557 -0.06520418111428528
1900 0.2086046318438577 -0.12303534782095718 -0.14323725326914977 -0.06520418111428268
2000 0.20866894410414072 -0.12323545618455019 -0.14349215194806975 -0.06488877549496654
2100 0.20866894410414072 -0.1232354561844476 -0.14349215194806975 -0.06488877551448394
2200 0.2087558229926347 -0.12350371932373476 -0.14383151452314918 -0.06446527447444464
2300 0.2087558229926347 -0.12350371932373476 -0.1438315147094008 -0.06446527446847783
2400 0.2087558229926347 -0.12350371932373176 -0.1438315147094008 -0.06446527447444464
2500 0.20913354971665687 -0.12464372168036839 -0.14524312906017572 -0.06266362481950773
2600 0.20913354971665687 -0.12464372168036839 -0.14524312923828195 -0.06266362481945928
2700 0.20991930891243846 -0.12688306805514069 -0.14787675668652991 -0.059169315179214144
2800 0.20991930891243846 -0.12688306805514069 -0.14787675687279025 -0.059169315169837075
2900 0.20991930891243846 -0.12688306805513602 -0.14787675687279025 -0.059169315179214144
3000 0.21193319865241847 -0.13173276886830032 -0.15312950352892674 -0.05202851102435484
3100 0.21193319865241847 -0.1317327688800904 -0.15312950334266395 -0.05202851102435484
3200 0.213350507805031 -0.13430485802996145 -0.15584572067568658 -0.048413999523682805
3300 0.21433121582562448 -0.13570223531033668 -0.15736405440981846 -0.046432121822238506
3400 0.21433121582562448 -0.13570223531033668 -0.15736405457876443 -0.04643212182221627
3500 0.21492078469663503 -0.1364110529479475 -0.158157115238623 -0.045404345308576365
3600 0.21492078469663503 -0.1364110529479475 -0.15815711542488378 -0.04540434530220454
3700 0.21492078469663503 -0.13641105294794578 -0.15815711542488378 -0.045404345308576365
3800 0.21642993943720729 -0.137855830164252 -0.15984053133881987 -0.04322542186022958
3900 0.21642993943720729 -0.13785583016386732 -0.15984053133881987 -0.043225421865439186
4000 0.21781159984498627 -0.13881545839415804 -0.16101739255328743 -0.04169135231719394
4100 0.21781159984498627 -0.13881545839509696 -0.16101739252368125 -0.04169135231719394
4200 0.21781159984498627 -0.13881545839509696 -0.16101739255328743 -0.04169135231719036
4300 0.22018356900202427 -0.13991170912917805 -0.16241606914933998 -0.03984294132912499
4400 0.22018356900202427 -0.1399117091261223 -0.16241606914933998 -0.0398429413301789
4500 0.22035748633742344 -0.13997129362706764 -0.1624933076569178 -0.03974000416390341
4600 0.22234811613202243 -0.1404997135948191 -0.16318056112104312 -0.03882161272752656
4700 0.22234811613202243 -0.1404997135948191 -0.16318056126212216 -0.03882161272751731
4800 0.2239680941823355 -0.14075872682439733 -0.16351678302314337 -0.038372809986334126
4900 0.2239680941823355 -0.14075872682439733 -0.16351678320936464 -0.03837280998521815
5000 0.2239680941823355 -0.14075872663823233 -0.1635167831688634 -0.0383728099913096
5100 0.2286963274050932 -0.1409267321071431 -0.16372130099045032 -0.038115497288323405
5200 0.2286963274050932 -0.1409267321071431 -0.16372130114618513 -0.03811549728830743
5300 0.23454577073679247 -0.14043685744328896 -0.16305510570593373 -0.039041678359067564
5400 0.23454577073679247 -0.14043685744328896 -0.16305510589219324 -0.03904167835396233
5500 0.23454577073679247 -0.14043685744328566 -0.16305510589219324 -0.039041678359067564
5600 0.23515246844367305 -0.14036038205732032 -0.16295307357216268 -0.039181963019657276
5700 0.23515246844367305 -0.14036038212298735 -0.1629530733858982 -0.039181963019657276
5800 0.23604260911532118 -0.14024204267436247 -0.16279579848838882 -0.039397843713022775
5900 0.23604260911532118 -0.14024204266686585 -0.16279579848838882 -0.03939784371358659
6000 0.23604260911532118 -0.14024204267436247 -0.16279579830212432 -0.03939784371358659
6100 0.23775280016155312 -0.13999692621996812 -0.16247217640980463 -0.039840906741024834
6200 0.23775280016155312 -0.13999692621993426 -0.16247217640980463 -0.039840906768661734
6300 0.2517644864227274 -0.13752887438274197 -0.1593395611121079 -0.04407356770416512
6400 0.2517644864227274 -0.13752887438355613 -0.15933956093250748 -0.04407356770416512
6500 0.2517644864227274 -0.13752887438355613 -0.1593395611121079 -0.04407356770414144
6600 0.25109133661348304 -0.1376568666428243 -0.1594970768675263 -0.043862882869592716
6700 0.25109133661348304 -0.137656866642708 -0.1594970768675263 -0.043862882882579154
6800 0.25177631844713805 -0.13752661910180392 -0.1593367922477339 -0.044077269691173426
6900 0.25177631844713805 -0.13752661910329733 -0.15933679206204976 -0.044077269691173426
7000 0.25177631844713805 -0.13752661910329733 -0.1593367922477339 -0.04407726969116743
7100 0.252829034335513 -0.1373255969480009 -0.15909040973651334 -0.04440637442943152
7200 0.252829034335513 -0.1373255970242115 -0.15909040955024883 -0.04440637442943152
7300 0.2548805426389495 -0.1369313804069145 -0.15861068413886154 -0.04504563292304716
7400 0.2548805426389495 -0.13693138040973313 -0.15861068395269506 -0.04504563292304716
7500 0.2548805426389495 -0.13693138040973313 -0.15861068413886154 -0.045045632923005764
7600 0.2586649272184676 -0.13619804800476348 -0.1577299898059643 -0.04621391717960472
7700 0.2586649272184676 -0.13619804800473512 -0.1577299898059643 -0.04621391721684605
7800 0.2718441784520266 -0.13362008444346424 -0.15474414063713765 -0.05012298555096524
7900 0.2718441784520266 -0.13362008444346424 -0.15474414082338164 -0.050122985548749034
8000 0.2718441784520266 -0.13362008444346424 -0.15474414082338164 -0.05012298555096524
8100 0.3032528822204215 -0.12750868890012906 -0.14822540796375225 -0.058361624595503835
8200 0.3032528822204215 -0.12750868890012906 -0.14822540814963808 -0.058361624595146135
8300 0.3194564745711799 -0.12440816804442634 -0.14515743922991592 -0.062087449845583884
8400 0.3194564745711799 -0.12440816787775122 -0.14515743922991592 -0.062087449845583884
8500 0.3194564745711799 -0.12440816804442634 -0.14515743904365142 -0.062087449845583884
8600 0.33323935246614217 -0.12180627320273126 -0.14268377811337274 -0.06501584503369032
8700 0.33323935246614217 -0.1218062732102968 -0.14268377792711245 -0.06501584503369032
8800 0.36445731324370023 -0.11604702612171718 -0.13748348645804 -0.07093918386436979
8900 0.36445731324370023 -0.11604702610860414 -0.13748348663143123 -0.07093918348351391
9000 0.36445731324370023 -0.11604702610854249 -0.13748348663143123 -0.07093918356599145
9100 0.36176325599143816 -0.11653636376134213 -0.13791219185029865 -0.07046323333129995
9200 0.36176325599143816 -0.11653636376805818 -0.13791219166403898 -0.07046323333129995
9300 0.3646164559890223 -0.11601816650609878 -0.1374582728289992 -0.07096710511289592
9400 0.3646164559890223 -0.11601816650609878 -0.13745827301526342 -0.07096710501732514
9500 0.3646164559890223 -0.11601816650608252 -0.13745827301526342 -0.07096710511289592
9600 0.3685668784542446 -0.11530344577801836 -0.1368363086861785 -0.0716533628394716
9700 0.3685668784542446 -0.11530344577801836 -0.13683630887204004 -0.07165336283906874
9800 0.37585902106073954 -0.1139925878313619 -0.1357075265163007 -0.07288644909891744
9900 0.37585902106073954 -0.11399258774390549 -0.1357075265163007 -0.07288644909910383
10000 0.37585902106073954 -0.1139925878313619 -0.1357075263300362 -0.07288644909910383
10100 0.4119431953391305 -0.10766939775976407 -0.13045854124318293 -0.07840467283729598
10200 0.4119431953391305 -0.10766939775976407 -0.13045854142937044 -0.0784046728361065
10300 0.40985256713247176 -0.10802829794959219 -0.13074852297665665 -0.0781093041582082
10400 0.40985256713247176 -0.1080282978101222 -0.13074852297665665 -0.07810930415834551
10500 0.40985256713247176 -0.10802829794959219 -0.13074852279039212 -0.07810930415834551
10600 0.41190069691861086 -0.10767668428225433 -0.13046441977603512 -0.07839869625908004
10700 0.41190069691861086 -0.10767668428225433 -0.13046441996198202 -0.07839869625857941
10800 0.41531547681343955 -0.10709240279594286 -0.12999419126250994 -0.07887529091169136
10900 0.41531547681343955 -0.10709240279622112 -0.12999419111130744 -0.07887529091169136
11000 0.41531547681343955 -0.10709240279622112 -0.12999419126250994 -0.07887529091166655
11100 0.42273640962940984 -0.10583105320793466 -0.1289868213322142 -0.07988621742244222
11200 0.42273640962940984 -0.10583105322507491 -0.12898682114595006 -0.07988621742244222
11300 0.44997097918221884 -0.10129967104265898 -0.12544943382794976 -0.08332547464980816
11400 0.44997097918221884 -0.10129967104289184 -0.12544943367980105 -0.08332547464980816
11500 0.44997097918221884 -0.10129967104289184 -0.12544943382794976 -0.08332547464975837
11600 0.4724040461128472 -0.09768041122509451 -0.1227069602021857 -0.0858708806580544
11700 0.4724040461128472 -0.09768041122509451 -0.12270696038807319 -0.08587088065756696
11800 0.4965084109641693 -0.09390192966253115 -0.11991320860224011 -0.08835279433107619
11900 0.4965084109641693 -0.09390192954937766 -0.11991320860224011 -0.08835279433120136
12000 0.4965084109641693 -0.09390192966253115 -0.1199132084159756 -0.08835279433120136
12100 0.5246301699573784 -0.0896326334821046 -0.11683252512244316 -0.09095747766476306
12200 0.5246301699573784 -0.08963263348108044 -0.11683252512244316 -0.09095747766834379
12300 0.5559915784135046 -0.08503918979585233 -0.11359777288776711 -0.09354143564238562
12400 0.5559915784135046 -0.08503918979585233 -0.1135977727837488 -0.09354143564238562
12500 0.5559915784135046 -0.08503918979585233 -0.11359777288776711 -0.09354143564234257
12600 0.5771198414398327 -0.08203898227729287 -0.11152506008623375 -0.0951153286825244
12700 0.5771198414398327 -0.08203898227953428 -0.11152505989999081 -0.0951153286825244
12800 0.5939056875981678 -0.07970692084696646 -0.10993396357045204 -0.09628011181185878
12900 0.5939056875981678 -0.07970692075112043 -0.10993396357045204 -0.09628011181185878
13000 0.5939056875981678 -0.07970692084696646 -0.10993396338418752 -0.09628011181185878
13100 0.5994719728495458 -0.07894334146262864 -0.10941660668410755 -0.09665073981153377
