#aspect  L_analytic  L_sim1  L_sim2
0.1 1.9730011848368772e-11 1.4872770195070546e-11 1.6336372399536974e-11
0.15848931924611134 2.2599071048594908e-11 1.7529350640307073e-11 1.9057772327059776e-11
0.251188643150958 2.6238112536484233e-11 2.0795045064705487e-11 2.2435120342610758e-11
0.3981071705534973 3.1238339939366063e-11 2.5171972719092563e-11 2.6996595721760973e-11
0.6309573444801934 3.8342026077936175e-11 3.12856016516284e-11 3.340097060410429e-11
1.0 4.906993947776256e-11 4.042758983984223e-11 4.3006180549283076e-11
1.584893192461114 6.554957775940712e-11 5.440062183213563e-11 5.770903461496683e-11
2.511886431509581 9.13616218970553e-11 7.623665752576553e-11 8.070088009749971e-11
3.981071705534973 1.3212447032727108e-10 1.1068715174085494e-10 1.1698506109406942e-10
6.309573444801933 1.965417273542954e-10 1.651075590192922e-10 1.743086411313304e-10
10.0 2.986138625725299e-10 2.513255871637529e-10 2.651303238010936e-10
