phi [°]		h [mT]		t [s]				Sij [dB/mm]
-90.00		-72.00		2.3266219239373623941413096e-10	-7.49356455921310917172445e-05
-90.00		-70.00		2.3266219239373623941413096e-10	-8.23547061530077495515936e-05
-90.00		-68.00		2.3266219239373623941413096e-10	-9.06231424166422028969661e-05
-90.00		-66.00		2.3266219239373623941413096e-10	-9.98714141559886987810010e-05
-90.00		-64.00		2.3266219239373623941413096e-10	-1.10258961900959966519545e-04
-90.00		-62.00		2.3266219239373623941413096e-10	-1.21973008405443719020557e-04
-90.00		-60.00		2.3266219239373623941413096e-10	-1.35237334261466290736414e-04
-90.00		-58.00		2.3266219239373623941413096e-10	-1.50312223515941452986824e-04
-90.00		-56.00		2.3266219239373623941413096e-10	-1.67505832945103735409989e-04
-90.00		-54.00		2.3266219239373623941413096e-10	-1.87176643411935436471516e-04
-90.00		-52.00		2.3266219239373623941413096e-10	-2.09745082871886577265477e-04
-90.00		-50.00		2.3266219239373623941413096e-10	-2.35695419890671642752442e-04
-90.00		-48.00		2.3266219239373623941413096e-10	-2.65589658944424518785543e-04
-90.00		-46.00		2.3266219239373623941413096e-10	-3.00078720482365129788860e-04
-90.00		-44.00		2.3266219239373623941413096e-10	-3.39903972166511044936121e-04
-90.00		-42.00		2.3266219239373623941413096e-10	-3.85917737462476500513026e-04
-90.00		-40.00		2.3266219239373623941413096e-10	-4.39088545088000203279327e-04
-90.00		-38.00		2.3266219239373623941413096e-10	-5.00522530548517651655116e-04
-90.00		-36.00		2.3266219239373623941413096e-10	-5.71463813294898468654603e-04
-90.00		-34.00		2.3266219239373623941413096e-10	-6.53321847643351561081559e-04
-90.00		-32.00		2.3266219239373623941413096e-10	-7.47677678850777868366229e-04
-90.00		-30.00		2.3266219239373623941413096e-10	-8.56306073948856515988537e-04
-90.00		-28.00		2.3266219239373623941413096e-10	-9.81185132106502690130245e-04
-90.00		-26.00		2.3266219239373623941413096e-10	-1.12451878350284368256184e-03
-90.00		-24.00		2.3266219239373623941413096e-10	-1.28875341470764703290242e-03
-90.00		-22.00		2.3266219239373623941413096e-10	-1.47659287480300747269490e-03
-90.00		-20.00		2.3266219239373623941413096e-10	-1.69102027806485944241843e-03
-90.00		-18.00		2.3266219239373623941413096e-10	-1.93530904139991503758178e-03
-90.00		-16.00		2.3266219239373623941413096e-10	-2.21305099600637312368123e-03
-90.00		-14.00		2.3266219239373623941413096e-10	-2.52816983422718757901215e-03
