1.010000000000000e-15 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 9.428981634649561e-08 -1.411284704180598e-08 9.999999999964214e-01
1.111000000000000e-14 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.037096071715981e-06 -1.551515192160997e-07 9.999999995672449e-01
1.121100000000000e-13 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.045600237076408e-05 -1.556704511910012e-06 9.999999562004183e-01
4.795868691540220e-13 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 4.458747717685552e-05 -6.529942095367537e-06 9.999992159146684e-01
1.021190269009657e-12 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 9.451197518329699e-05 -1.355306746167484e-05 9.999965577435543e-01
1.656480799953867e-12 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.525335528047208e-04 -2.144209125917734e-05 9.999912761352748e-01
2.442914477075851e-12 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.236317330602969e-04 -3.088442593534848e-05 9.999818790251349e-01
3.345443754244431e-12 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 3.043682436715748e-04 -4.155513304708329e-05 9.999677417707121e-01
4.380527393954713e-12 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 3.960472431389757e-04 -5.392592573949625e-05 9.999478527021309e-01
5.513087681509067e-12 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 4.955303853719092e-04 -6.800215414837107e-05 9.999224588825376e-01
6.749462535900686e-12 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 6.035090169854885e-04 -8.437686335696466e-05 9.998913590081835e-01
8.075177912477791e-12 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 7.189872855396862e-04 -1.034034790275710e-04 9.998550649340516e-01
9.490096785249095e-12 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 8.423392197111827e-04 -1.255866269637148e-04 9.998138985650571e-01
1.098999475004306e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 9.736618934412514e-04 -1.512915897269952e-04 9.997683666885812e-01
1.257682084021596e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.113635277227911e-03 -1.808772768448725e-04 9.997187997360846e-01
1.425382103036866e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.263067342663474e-03 -2.146195674667125e-04 9.996654344873472e-01
1.602902090328294e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.423181561873546e-03 -2.527902613567388e-04 9.996082650145973e-01
1.791436419538741e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.595533210543907e-03 -2.956693873268683e-04 9.995470378235449e-01
1.989589114839228e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.779220614695175e-03 -3.428493729181176e-04 9.994822045560932e-01
2.192553948870865e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.969916948462949e-03 -3.929415681180419e-04 9.994152125949332e-01
2.403384691021652e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.170458978420166e-03 -4.464350420134122e-04 9.993448007242620e-01
2.621680753996597e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.380369757654601e-03 -5.030378762579222e-04 9.992707176671740e-01
2.849628193050761e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.601586912823407e-03 -5.632099810769949e-04 9.991917105038067e-01
3.088939603691678e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.835581698964254e-03 -6.274169568195501e-04 9.991065192644983e-01
3.340345926245657e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 3.082847010866890e-03 -6.959996381302159e-04 9.990140587455703e-01
3.599649089844566e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 3.338988873953482e-03 -7.680625344286013e-04 9.989149970499968e-01
3.870686480778281e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 3.607559154411966e-03 -8.450451700021889e-04 9.988068932881046e-01
4.152849473480264e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 3.887794336831696e-03 -9.272878350733223e-04 9.986888212089609e-01
4.449681458665576e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 4.183143938469387e-03 -1.016468851671991e-03 9.985578843775587e-01
4.764049083100904e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 4.496506255700922e-03 -1.114266410389543e-03 9.984109646243492e-01
5.098103804400406e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 4.830195980471071e-03 -1.222317897395625e-03 9.982446833322987e-01
5.444566809911008e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 5.177202399764015e-03 -1.339160641757857e-03 9.980601634143489e-01
5.805518950187673e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 5.539926790381603e-03 -1.466240766383713e-03 9.978536937413814e-01
6.183842627138625e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 5.921645594818358e-03 -1.605350704015311e-03 9.976203101147538e-01
6.584279628449852e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 6.327576297079435e-03 -1.759104715294738e-03 9.973526639737843e-01
7.006561480906861e-11 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 6.757880604245619e-03 -1.928282655847231e-03 9.970453758057042e-01
